Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       4.63000	      -0.03572	                              
       4.64000	      -0.04754	                              
       4.65000	      -0.05671	                              
       4.66000	      -0.06647	                              
       4.67000	      -0.07097	                              
       4.68000	      -0.06132	                              
       4.69000	      -0.03652	                              
       4.70000	      -0.00140	                              
       4.71000	       0.03587	                              
       4.72000	       0.06852	                              
       4.73000	       0.08601	                              
       4.74000	       0.08634	                              
       4.75000	       0.08892	                              
       4.76000	       0.10260	                              
       4.77000	       0.12380	                              
       4.78000	       0.13910	                              
       4.79000	       0.13332	                              
       4.80000	       0.11274	                              
       4.81000	       0.08994	                              
       4.82000	       0.06966	                              
       4.83000	       0.05194	                              
       4.84000	       0.03773	                              
       4.85000	       0.03041	                              
       4.86000	       0.03332	                              
       4.87000	       0.04676	                              
       4.88000	       0.06655	                              
       4.89000	       0.08625	                              
       4.90000	       0.10047	                              
       4.91000	       0.10712	                              
       4.92000	       0.10772	                              
       4.93000	       0.10670	                              
       4.94000	       0.10962	                              
       4.95000	       0.12068	                              
       4.96000	       0.13965	                              
       4.97000	       0.16042	                              
       4.98000	       0.17286	                              
       4.99000	       0.16840	                              
       5.00000	       0.14529	                              
       5.01000	       0.11020	                              
       5.02000	       0.07470	                              
       5.03000	       0.04935	                              
       5.04000	       0.03908	                              
       5.05000	       0.04205	                              
       5.06000	       0.05151	                              
       5.07000	       0.05892	                              
       5.08000	       0.05734	                              
       5.09000	       0.04411	                              
       5.10000	       0.02213	                              
       5.11000	      -0.00156	                              
       5.12000	      -0.01942	                              
       5.13000	      -0.02749	                              
       5.14000	      -0.02726	                              
       5.15000	      -0.02443	                              
       5.16000	      -0.02517	                              
       5.17000	      -0.03263	                              
       5.18000	      -0.04522	                              
       5.19000	      -0.05806	                              
       5.20000	      -0.06640	                              
       5.21000	      -0.06951	                              
       5.22000	      -0.07141	                              
       5.23000	      -0.07705	                              
       5.24000	      -0.08602	                              
       5.25000	      -0.08922	                              
       5.26000	      -0.07273	                              
       5.27000	      -0.03114	                              
       5.28000	       0.02129	                              
       5.29000	       0.06271	                              
       5.30000	       0.07640	                              
       5.31000	       0.05985	                              
       5.32000	       0.03732	                              
       5.33000	       0.01867	                              
       5.34000	       0.00147	                              
       5.35000	      -0.01279	                              
       5.36000	      -0.00553	                              
       5.37000	       0.01824	                              
       5.38000	       0.03912	                              
       5.39000	       0.05105	                              
       5.40000	       0.05649	                              
       5.41000	       0.06272	                              
       5.42000	       0.07352	                              
       5.43000	       0.08433	                              
       5.44000	       0.08752	                              
       5.45000	       0.08205	                              
       5.46000	       0.07380	                              
       5.47000	       0.07109	                              
       5.48000	       0.07770	                              
       5.49000	       0.09033	                              
       5.50000	       0.10083	                              
       5.51000	       0.10242	                              
       5.52000	       0.09361	                              
       5.53000	       0.07859	                              
       5.54000	       0.06339	                              
       5.55000	       0.05228	                              
       5.56000	       0.04625	                              
       5.57000	       0.04436	                              
       5.58000	       0.04518	                              
       5.59000	       0.04716	                              
       5.60000	       0.04759	                              
       5.61000	       0.04269	                              
       5.62000	       0.02934	                              
       5.63000	       0.00766	                              
       5.64000	      -0.01813	                              
       5.65000	      -0.04113	                              
       5.66000	      -0.05506	                              
       5.67000	      -0.05769	                              
       5.68000	      -0.05270	                              
       5.69000	      -0.04863	                              
       5.70000	      -0.05451	                              
       5.71000	      -0.07448	                              
       5.72000	      -0.10472	                              
       5.73000	      -0.13541	                              
       5.74000	      -0.15639	                              
       5.75000	      -0.16265	                              
       5.76000	      -0.15549	                              
       5.77000	      -0.13959	                              
       5.78000	      -0.11935	                              
       5.79000	      -0.09743	                              
       5.80000	      -0.07577	                              
       5.81000	      -0.05680	                              
       5.82000	      -0.04314	                              
       5.83000	      -0.03609	                              
       5.84000	      -0.03495	                              
       5.85000	      -0.03665	                              
       5.86000	      -0.03672	                              
       5.87000	      -0.02983	                              
       5.88000	      -0.01428	                              
       5.89000	       0.00377	                              
       5.90000	       0.01607	                              
       5.91000	       0.01584	                              
       5.92000	       0.00058	                              
       5.93000	      -0.01215	                              
       5.94000	      -0.01058	                              
       5.95000	       0.00169	                              
       5.96000	       0.01712	                              
       5.97000	       0.02471	                              
       5.98000	       0.02220	                              
       5.99000	       0.01405	                              
       6.00000	       0.00422	                              
       6.01000	      -0.00321	                              
